# Base Pair	Mean
0	31.264301940663003
1	31.44230414073784
2	35.32827246196721
3	35.92871739094916
4	36.09835260322436
5	39.573363997339165
6	39.73660445426991
7	39.816290257915185
8	40.00983631690454
9	40.066305108014255
10	40.10437861747057
11	40.11889414780287
12	40.064250105372594
13	40.07103662198092
14	40.073171105034156
15	40.06607201851381
16	39.9829783604249
17	40.01358335127224
18	40.02123504565017
19	40.01391455314801
20	39.98320344985344
21	40.04378032744052
22	39.973750976729356
23	40.018210123760646
24	39.971674256067296
25	39.95728093192634
26	39.89541670347016
27	39.92127150709283
28	39.86349854459119
29	39.90736658101001
30	39.81043722526508
31	39.870599522388
32	39.852375548537275
33	39.895397397033726
34	39.91179441984523
35	39.904167636909385
36	39.8940528068339
37	39.86885067528549
38	39.88070280934528
39	39.86989397165538
40	39.85233052129154
41	39.837741423883685
42	39.82973229201909
43	39.825489189875306
44	39.74388511984836
45	39.78127342011759
46	39.79134226492084
47	39.78587638234381
48	39.780806010548176
49	39.77567073796273
50	39.77657128287746
51	39.76766332944465
52	39.687864192365005
53	39.72259013422378
54	39.72944116896192
55	39.726058457208154
56	39.67179063839349
57	39.68900449717738
58	39.676117080584355
59	39.66556348813431
60	39.64553211194038
61	39.64080384370144
62	39.589305976831426
63	39.60720985145262
64	39.59399951660956
65	39.581014640090295
66	39.56906488643318
67	39.55893994477335
68	39.544322313041576
69	39.44859068864032
70	39.46707217616147
71	39.46282866933408
72	39.45364293226201
73	39.432105023600556
74	39.40741819468797
75	39.383661906830355
76	38.64629549113497
77	39.05744404006825
78	39.17772193878081
79	39.22938594341392
80	39.32101735202107
81	39.32748463107315
82	39.30458273217514
83	39.28915057694875
84	39.271086665101066
85	39.26378823749097
86	39.22070142488686
87	39.0747698310351
88	39.11058770287364
89	39.11503113716906
90	39.09731839984742
91	39.05424496382604
92	39.01740024173927
93	38.96179684312923
94	38.93702517381195
95	38.94044496779854
96	38.92241449603119
97	38.701608888514855
98	38.753279268979526
99	38.83143660190091
100	37.66828871290474
