# Base Pair	Mean
0	30.158167161502497
1	30.777205278940773
2	33.78220402999631
3	34.593560181621456
4	35.101562980325205
5	37.95055633191032
6	38.00725455660324
7	38.23399163381331
8	38.435973006061566
9	38.31674259921428
10	38.41839143027672
11	38.45483860439929
12	38.31101137082485
13	38.39652427433381
14	38.248926881613954
15	38.01057951697763
16	38.12035227515534
17	38.26334323693233
18	38.07170036366603
19	38.17151072810056
20	38.01708748462667
21	38.031970027204785
22	38.203262344532845
23	38.220033209658446
24	38.22972623828264
25	38.2097893680999
26	38.18121423169846
27	38.23132525609625
28	38.197060441575616
29	38.149044695474004
30	38.025469357625475
31	37.65506342403876
32	37.56962167326844
33	37.35705548186139
34	37.23114081947632
35	37.144484946299656
36	37.095894549472
37	37.10797906277121
38	37.075362863206465
39	37.457104149883136
40	37.68202258720922
41	37.84728702103819
42	37.84119623814375
43	38.00377114194846
44	38.02351418795271
45	38.00344884861801
46	38.0415836745236
47	37.997333820495314
48	37.98582477830117
49	37.94463671641811
50	38.0244718070212
51	38.04598090055785
52	38.04215590540683
53	37.83795609339751
54	37.86720817187799
55	37.946432292089284
56	37.95871272456172
57	37.88353067509333
58	37.849634805389236
59	37.783022919669186
60	37.760647891301765
61	37.80409847592987
62	37.81441446128896
63	37.73644318647489
64	37.76997430685785
65	37.6993278191475
66	37.76248949078648
67	37.65897705040625
68	37.61172860369963
69	37.65978436667848
70	37.65415334290616
71	37.587243158565485
72	37.531961546743155
73	37.532418280373534
74	37.52765650873641
75	37.40949037573593
76	36.48310845244074
77	36.884562147544145
78	37.31376742312632
79	37.41590324273665
80	37.54053434506438
81	37.54712558118382
82	37.573098070654375
83	37.48450884768448
84	37.3889485531095
85	37.395332907809895
86	37.329834780208
87	37.33598685477517
88	37.30411869772209
89	37.23139111766552
90	37.194345796390984
91	37.10481562621616
92	37.0732837061839
93	37.03168262200622
94	36.85190963106661
95	36.86780801209404
96	36.86914974473205
97	36.79507467286664
98	36.544669336119426
99	36.62407719094846
100	34.65798544892633
